X,Y,Index_,premisetype
-79.3055038,43.6681023,6925,Commercial
-79.5812759,43.6869812,6328,Commercial
-79.5237885,43.6180458,6351,Commercial
-79.251442,43.823288,6353,Commercial
-79.3749313,43.7051086,6356,Commercial
-79.2712097,43.7314377,6357,Commercial
-79.5177612,43.6308784,6377,Commercial
-79.5102463,43.6476135,6382,Commercial
-79.3811111,43.6420593,6385,Commercial
-79.411377,43.7632637,6386,Commercial
-79.4473343,43.6963615,6389,Commercial
-79.4844818,43.649334,6390,Commercial
-79.5038376,43.7028809,6391,Commercial
-79.4747543,43.7861862,6397,Commercial
-79.5927734,43.7113647,6399,Commercial
-79.3001556,43.6839523,6928,Commercial
-79.4910507,43.763504,6940,Commercial
-79.3473434,43.678463,6942,Commercial
-79.3721924,43.6491318,6943,Commercial
-79.4167328,43.655117,6945,Commercial
-79.4992981,43.6183815,6948,Commercial
-79.2611313,43.7736168,6959,Commercial
-79.2611313,43.7736168,6960,Commercial
-79.2611313,43.7736168,6961,Commercial
-79.2611313,43.7736168,6962,Commercial
-79.2611313,43.7736168,6963,Commercial
-79.4370346,43.6552162,6978,Commercial
-79.1988754,43.7601471,6982,Commercial
-79.3431168,43.694725,6988,Commercial
-79.5947952,43.7155609,6523,Commercial
-79.2205582,43.742836,6228,Commercial
-79.3845978,43.6649399,6151,Commercial
-79.3314209,43.6629982,6527,Commercial
-79.4482651,43.7248802,6152,Commercial
-79.5569077,43.6101265,6156,Commercial
-79.4502792,43.695694,6165,Commercial
-79.360405,43.7548523,6173,Commercial
-79.4340057,43.7373581,6175,Commercial
-79.3178329,43.737442,6176,Commercial
-79.406517,43.656723,6186,Commercial
-79.4889755,43.7800522,6187,Commercial
-79.4889755,43.7800522,6188,Commercial
-79.5310669,43.631485,6189,Commercial
-79.3858566,43.6608162,6197,Commercial
-79.4032898,43.7291603,6199,Commercial
-79.5306091,43.6174316,6239,Commercial
-79.3921585,43.6496811,6241,Commercial
-79.432785,43.6994591,6242,Commercial
-79.2365723,43.788372,6247,Commercial
-79.2365723,43.788372,6248,Commercial
-79.3701248,43.6561661,6253,Commercial
-79.5587158,43.7543983,6255,Commercial
-79.3101883,43.7590332,6265,Commercial
-79.3101883,43.7590332,6266,Commercial
-79.3484726,43.6884575,6274,Commercial
-79.4338226,43.699234,6277,Commercial
-79.5933151,43.741787,6281,Commercial
-79.3900375,43.6782112,6286,Commercial
-79.3900375,43.6782112,6287,Commercial
-79.4232559,43.6494026,6290,Commercial
-79.3776855,43.6426506,6293,Commercial
-79.5097961,43.6017227,6294,Commercial
-79.3707047,43.6615677,6299,Commercial
-79.5668488,43.7039528,6547,Commercial
-79.38311,43.6613731,6554,Commercial
-79.450882,43.6967545,6556,Commercial
-79.4747543,43.7861862,6558,Commercial
-79.2611313,43.7736168,6563,Commercial
-79.4510727,43.6515198,6564,Commercial
-79.3920898,43.6488533,6565,Commercial
-79.5688705,43.6441574,6567,Commercial
-79.2598114,43.7920647,6575,Commercial
-79.4178238,43.7889824,6588,Commercial
-79.4512024,43.6954803,6590,Commercial
-79.3152695,43.685154,6594,Commercial
-79.5811157,43.7138481,13209,Commercial
-79.3858566,43.6608162,13215,Commercial
-79.3694611,43.6545258,13220,Commercial
-79.3847122,43.6580772,13224,Commercial
-79.3799744,43.6540642,13226,Commercial
-79.5246277,43.6158752,13228,Commercial
-79.4027023,43.6439285,13232,Commercial
-79.1997681,43.8019753,13237,Commercial
-79.4021912,43.6480141,13238,Commercial
-79.5892334,43.7410965,13245,Commercial
-79.4194107,43.7323952,13246,Commercial
-79.5242844,43.7559319,13250,Commercial
-79.5089111,43.6479378,13265,Commercial
-79.3225403,43.8161469,13268,Commercial
-79.505455,43.6486931,13275,Commercial
-79.38311,43.6613731,13279,Commercial
-79.38311,43.6613731,13280,Commercial
-79.1906128,43.7649841,13283,Commercial
-79.1906128,43.7649841,13284,Commercial
-79.4397583,43.6786957,13285,Commercial
-79.3941422,43.6880836,13295,Commercial
-79.4881744,43.7520256,13602,Commercial
-79.4124451,43.7674751,13605,Commercial
-79.3437195,43.7758369,13617,Commercial
-79.3921585,43.6496811,13621,Commercial
-79.3005371,43.7249718,13629,Commercial
-79.6125946,43.7204056,13635,Commercial
-79.1948776,43.8030815,13647,Commercial
-79.1948776,43.8030815,13648,Commercial
-79.4410172,43.6502838,13649,Commercial
-79.4188614,43.644207,13653,Commercial
-79.2909164,43.7461815,13658,Commercial
-79.4464645,43.666729,13662,Commercial
-79.4523315,43.6952438,13663,Commercial
-79.5374985,43.7203789,13667,Commercial
-79.5374985,43.7203789,13668,Commercial
-79.5374985,43.7203789,13670,Commercial
-79.5374985,43.7203789,13671,Commercial
-79.403717,43.7308693,13688,Commercial
-79.4143982,43.629406,13689,Commercial
-79.4143982,43.629406,13690,Commercial
-79.5803986,43.739727,13691,Commercial
-79.365654,43.6567955,13696,Commercial
-79.380928,43.6563301,13698,Commercial
-79.5030289,43.6012611,13003,Commercial
-79.2556076,43.7350769,13303,Commercial
-79.2792816,43.7700691,13705,Commercial
-79.5179672,43.6228943,13304,Commercial
-79.4099426,43.6459961,13707,Commercial
-79.5569077,43.6101265,13507,Commercial
-79.2189102,43.7431831,13515,Commercial
-79.3799744,43.6540642,13518,Commercial
-79.513443,43.7580605,13523,Commercial
-79.513443,43.7580605,13524,Commercial
-79.3000717,43.8253212,13530,Commercial
-79.2189102,43.7431831,13533,Commercial
-79.5540619,43.7129021,13536,Commercial
-79.5540619,43.7129021,13537,Commercial
-79.3936386,43.6457634,13540,Commercial
-79.2291183,43.7279854,13542,Commercial
-79.2291183,43.7279854,13543,Commercial
-79.3920898,43.6488533,13552,Commercial
-79.3686371,43.6521492,13566,Commercial
-79.3728485,43.6995659,13568,Commercial
-79.4893112,43.613781,13573,Commercial
-79.3776321,43.6615715,13576,Commercial
-79.3776321,43.6615715,13577,Commercial
-79.4124451,43.7674751,13580,Commercial
-79.5990524,43.7181282,13584,Commercial
-79.3998337,43.6675186,13585,Commercial
-79.3871536,43.6711235,13906,Commercial
-79.4148483,43.6743393,13106,Commercial
-79.3837662,43.6557198,13109,Commercial
-79.3837662,43.6557198,13110,Commercial
-79.2965317,43.8242569,13119,Commercial
-79.3297806,43.6820641,13125,Commercial
-79.3880539,43.7665901,13134,Commercial
-79.3850479,43.6660652,13149,Commercial
-79.4622116,43.6930313,13160,Commercial
-79.4340057,43.7373581,13162,Commercial
-79.2944717,43.6712112,13169,Commercial
-79.4771194,43.7045593,13172,Commercial
-79.397644,43.6449547,13183,Commercial
-79.5646286,43.7369156,13194,Commercial
-79.5902252,43.7559433,13199,Commercial
-79.2914352,43.8064194,13811,Commercial
-79.3279343,43.7857323,13712,Commercial
-79.4775314,43.7664948,13012,Commercial
-79.2428665,43.7355003,13412,Commercial
-79.4434433,43.6653748,13914,Commercial
-79.2889099,43.8031311,13915,Commercial
-79.3787384,43.6510582,13922,Commercial
-79.3334274,43.7256355,13925,Commercial
-79.4669266,43.768856,13932,Commercial
-79.381073,43.6505699,13933,Commercial
-79.3996887,43.7639999,13942,Commercial
-79.3996887,43.7639999,13943,Commercial
-79.4159317,43.7230148,13945,Commercial
-79.2839737,43.6874542,13955,Commercial
-79.5572128,43.6383362,13976,Commercial
-79.520401,43.7688293,13991,Commercial
-79.2341995,43.8080482,13997,Commercial
-79.2631836,43.7752838,13998,Commercial
-79.5951767,43.7010803,13814,Commercial
-79.2644653,43.7496948,13317,Commercial
-79.362793,43.7085533,13322,Commercial
-79.3776855,43.6426506,13324,Commercial
-79.288765,43.7307129,13325,Commercial
-79.4793396,43.7825584,13327,Commercial
-79.4331512,43.641304,13329,Commercial
-79.5501099,43.7484856,13333,Commercial
-79.2588348,43.7896233,13345,Commercial
-79.2588348,43.7896233,13346,Commercial
-79.5160217,43.6193581,13350,Commercial
-79.2947311,43.7453804,13355,Commercial
-79.3983688,43.7067337,13359,Commercial
-79.1947403,43.7620163,13373,Commercial
-79.4468079,43.6515923,13385,Commercial
-79.3923264,43.6460571,13391,Commercial
-79.3793716,43.6618767,13392,Commercial
-79.1906586,43.7674141,13394,Commercial
-79.498497,43.6022644,13396,Commercial
-79.6125946,43.7204056,13715,Commercial
-79.2964478,43.709919,13015,Commercial
-79.3824234,43.6517639,13019,Commercial
-79.2926865,43.6902275,13722,Commercial
-79.5858307,43.7509766,13723,Commercial
-79.4202728,43.654911,13727,Commercial
-79.352623,43.6654892,13728,Commercial
-79.4045181,43.6665268,13731,Commercial
-79.2529144,43.8108559,13739,Commercial
-79.2611313,43.7736168,13746,Commercial
-79.5034866,43.6261406,13756,Commercial
-79.4405365,43.7551231,13757,Commercial
-79.4889755,43.7800522,13762,Commercial
-79.3824234,43.6517639,13767,Commercial
-79.3824234,43.6517639,13771,Commercial
-79.2887878,43.7206879,13782,Commercial
-79.4873199,43.6858559,13787,Commercial
-79.4873199,43.6858559,13788,Commercial
-79.4139786,43.6452065,13792,Commercial
-79.3793716,43.6618767,13823,Commercial
-79.38311,43.6613731,13825,Commercial
-79.5034866,43.6261406,13424,Commercial
-79.4898605,43.68713,13432,Commercial
-79.4000473,43.6579514,13435,Commercial
-79.3721619,43.6633911,13440,Commercial
-79.3644638,43.6556168,13444,Commercial
-79.3801956,43.6399651,13448,Commercial
-79.5160141,43.7193069,13020,Commercial
-79.2189102,43.7431831,13460,Commercial
-79.3805237,43.66465,13485,Commercial
-79.3015976,43.6876793,13487,Commercial
-79.3015976,43.6876793,13488,Commercial
-79.2934647,43.7821198,13489,Commercial
-79.3710785,43.6516075,13491,Commercial
-79.5547104,43.6328049,13500,Commercial
-79.5160141,43.7193069,13021,Commercial
-79.317894,43.673214,13828,Commercial
-79.2762833,43.753231,13025,Commercial
-79.1959915,43.7912369,13026,Commercial
-79.2850723,43.7853584,13837,Commercial
-79.3407135,43.6715126,13840,Commercial
-79.3920746,43.6558113,13844,Commercial
-79.5319519,43.6452484,13847,Commercial
-79.3974152,43.6485405,13854,Commercial
-79.2611313,43.7736168,13874,Commercial
-79.3757706,43.6531715,13875,Commercial
-79.3941422,43.6687202,13876,Commercial
-79.3821182,43.6590996,13892,Commercial
-79.2914658,43.7269974,13028,Commercial
-79.2914658,43.7269974,13029,Commercial
-79.4617233,43.7191887,13032,Commercial
-79.4617233,43.7191887,13033,Commercial
-79.2520523,43.7358513,13035,Commercial
-79.2520523,43.7358513,13036,Commercial
-79.3574905,43.7534943,13047,Commercial
-79.5106125,43.5995903,13055,Commercial
-79.4536667,43.7090645,13062,Commercial
-79.4631729,43.674015,13064,Commercial
-79.4427948,43.6973038,13073,Commercial
-79.4338379,43.6601868,13075,Commercial
-79.1868668,43.7706146,13082,Commercial
-79.3799744,43.6540642,13088,Commercial
-79.5246429,43.6857834,13089,Commercial
-79.3458481,43.7193756,4201,Commercial
-79.2811203,43.6928215,4414,Commercial
-79.2811203,43.6928215,4415,Commercial
-79.4734497,43.7232857,4417,Commercial
-79.3921585,43.6496811,4418,Commercial
-79.2378922,43.7809296,4423,Commercial
-79.2378922,43.7809296,4424,Commercial
-79.6039124,43.7436447,4425,Commercial
-79.3794708,43.6560364,4447,Commercial
-79.3799744,43.6540642,4450,Commercial
-79.4370346,43.6552162,4459,Commercial
-79.4370346,43.6552162,4460,Commercial
-79.4370346,43.6552162,4461,Commercial
-79.4018478,43.6576538,4472,Commercial
-79.3813324,43.6511726,4473,Commercial
-79.6113205,43.7106895,4475,Commercial
-79.6113205,43.7106895,4482,Commercial
-79.360405,43.7548523,4490,Commercial
-79.6163025,43.7195778,4493,Commercial
-79.473381,43.7742805,4494,Commercial
-79.3644638,43.6556168,4002,Commercial
-79.4210129,43.639473,4202,Commercial
-79.5063095,43.6032677,4902,Commercial
-79.4631729,43.674015,4903,Commercial
-79.2822571,43.7694244,4205,Commercial
-79.4631729,43.674015,4904,Commercial
-79.3824234,43.6517639,4104,Commercial
-79.3635254,43.7103615,4206,Commercial
-79.4482651,43.7248802,4709,Commercial
-79.3875809,43.6721649,4907,Commercial
-79.2556076,43.7350769,4909,Commercial
-79.348175,43.7344856,4302,Commercial
-79.4112549,43.6457481,4303,Commercial
